timestamp,ax,ay,az,gx,gy,gz
1745843766,0.042,-0.104,0.935,-4.089,8.911,5.493
1745843767,0.079,-0.153,0.964,-0.916,-4.639,3.845
1745843767,-0.028,-0.093,1.026,3.235,-1.709,3.662
1745843767,0.097,-0.135,1.009,2.563,4.761,2.075
1745843767,-0.045,-0.068,1.04,2.869,7.141,2.014
1745843767,0.102,-0.129,0.98,7.385,8.789,2.991
1745843767,0.064,-0.105,0.961,-7.019,2.563,1.099
1745843767,0.115,-0.1,0.937,3.845,11.414,4.761
1745843767,0.106,-0.123,0.914,-12.39,-15.198,0.916
1745843767,0.019,-0.079,0.926,-1.465,-4.517,2.869
1745843767,0.099,-0.109,0.926,-0.793,7.629,6.348
1745843767,0.115,-0.103,0.942,-2.014,-9.705,4.517
1745843767,0.062,-0.093,0.967,3.784,11.23,10.986
1745843767,0.099,-0.115,0.964,8.301,1.77,11.902
1745843767,0.076,-0.11,1.017,-4.333,-11.292,6.958
1745843767,0.091,-0.132,0.982,-9.338,-15.869,6.836
1745843767,0.055,-0.102,0.968,-14.465,-9.827,8.423
1745843767,0.025,-0.069,0.95,-9.888,4.333,14.587
1745843767,0.047,-0.056,0.979,-7.69,6.165,13.306
1745843767,0.04,-0.072,1.0,-10.01,-6.714,7.874
1745843767,0.047,-0.071,0.947,-17.822,-0.061,7.324
1745843767,0.11,-0.089,0.672,-34.241,-6.042,1.465
1745843767,0.329,0.156,-0.698,-71.167,-16.663,-16.357
1745843768,-0.506,0.641,-0.191,228.882,34.668,-0.61
1745843768,0.595,-1.232,2.205,198.608,19.775,-17.395
1745843768,-0.194,-0.599,2.351,-40.71,-5.737,-22.339
1745843768,0.216,-0.377,1.265,-38.757,1.465,2.808
1745843768,-0.118,-0.195,0.956,-14.893,-9.644,10.681
1745843768,0.076,-0.25,0.842,-6.531,-8.118,2.808
1745843768,-0.049,-0.234,0.978,-12.329,-13.977,-2.014
1745843768,0.069,-0.278,1.0,-7.08,6.836,-3.113
1745843768,0.023,-0.222,1.028,-11.414,5.127,-1.709
1745843768,0.059,-0.206,0.968,-10.132,7.019,0.671
1745843768,0.06,-0.187,0.936,-13.55,-2.563,1.892
1745843768,0.055,-0.158,0.935,-12.634,2.136,1.099
1745843768,0.068,-0.145,0.912,-14.404,-2.686,-0.732
1745843768,0.08,-0.138,0.911,-13.428,2.991,1.221
1745843768,0.063,-0.149,0.929,-9.338,6.775,0.671
1745843768,0.107,-0.144,0.924,-14.038,6.348,1.709
1745843768,0.083,-0.102,0.918,-15.076,0.488,3.723
1745843768,0.068,-0.075,0.958,2.747,3.174,10.681
1745843768,0.088,-0.105,0.984,-0.793,6.897,10.986
1745843769,0.036,-0.087,1.004,-11.23,-7.263,7.568
1745843769,0.069,-0.085,0.991,-8.789,-0.732,6.348
1745843769,0.052,-0.071,0.988,-8.545,-7.812,6.775
1745843769,0.035,-0.079,0.948,-4.578,14.282,10.62
1745843769,0.094,-0.088,0.935,3.906,9.705,8.728
1745843769,0.117,-0.102,0.962,-11.536,-12.817,4.7
1745843769,0.074,-0.161,0.837,-53.528,4.456,0.0
1745843769,-0.176,-0.17,0.012,-141.357,-9.277,-8.606
1745843769,0.32,1.111,-1.14,76.416,-37.781,-27.832
1745843769,-0.09,-0.831,1.461,380.066,55.481,-7.019
1745843769,-0.076,-1.04,2.838,17.395,-37.354,-6.775
1745843769,0.302,-0.5,1.398,-43.579,54.565,-7.019
1745843769,-0.042,-0.154,0.951,-18.188,-16.418,10.193
1745843769,-0.021,-0.198,0.899,8.057,10.132,3.235
1745843769,0.046,-0.219,0.942,-13.977,-18.066,-9.216
1745843769,0.083,-0.272,0.981,-0.671,11.78,-9.338
1745843769,0.13,-0.303,1.027,-11.414,-25.818,-1.831
1745843769,0.057,-0.219,1.013,-12.085,-6.226,3.54
1745843769,0.049,-0.202,0.938,-15.015,-5.676,3.479
1745843770,0.059,-0.182,0.843,-18.738,-11.841,5.859
1745843770,0.031,-0.143,0.827,-8.423,10.986,7.446
1745843770,0.11,-0.17,0.874,-2.258,-2.93,3.784
1745843770,-0.006,-0.122,0.932,-0.549,2.747,3.113
1745843770,0.056,-0.148,0.944,5.31,-3.052,1.038
1745843770,0.063,-0.144,0.983,-0.61,-4.578,-0.061
1745843770,0.057,-0.156,0.968,-0.549,-2.197,0.854
